City,State,Population,Land_Area,Location_Coordinates,Airports,Wiki_Page,City_Description
Austin,Texas,"964,254",312.7 sq mi,30°18′14″N 97°45′16″W﻿ ,Austin–Bergstrom International Airport,"https://en.wikipedia.org/wiki/Austin,_Texas","b""Austin is the capital of the U.S. state of Texas and the seat of Travis County with portions extending into Hays and Williamson counties. It is the 11th-most populous city in the United States and the 4th-most populous city in Texas. It is also the fastest growing large city in the United States[5][6] the second most populous state capital after Phoenix Arizona[7] and the southernmost state capital in the contiguous United States. As of the U.S. Census Bureau's July 1 2017 estimate Austin had a population of 950715[8] up from 790491 at the 2010 census.[3] The city is the cultural and economic center of the AustinRound Rock metropolitan statistical area which had an estimated population of 2168316 as of July 1 2018[update]. Located in Central Texas within the greater Texas Hill Country it is home to numerous lakes rivers and waterways including Lady Bird Lake and Lake Travis on the Colorado River Barton Springs McKinney Falls and Lake Walter E. Long."""
Jacksonville,Florida,"903,889",747.4 sq mi,30°20′13″N 81°39′42″W﻿ ,Jacksonville International Airport,"https://en.wikipedia.org/wiki/Jacksonville,_Florida","b""Jacksonville is the most populous city in Florida the most populous city in the southeastern United States and the largest city by area in the contiguous United States.[10][11] It is the seat of Duval County[12] with which the city government consolidated in 1968. Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits. As of 2017 Jacksonville's population was estimated to be 892062.[13] The Jacksonville metropolitan area has a population of 1523615 and is the fourth largest in Florida.[14]"""
Fort Worth,Texas,"895,008",342.9 sq mi,32°46′53″N 97°20′48″W﻿ ,,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas","b""Fort Worth is a city in the U.S. state of Texas. It is the 13th-largest city in the United States and fifth-largest city in Texas.[7] It is the county seat of Tarrant County covering nearly 350 square miles (910 km2) into three other counties: Denton Parker and Wise. According to the 2017 census estimates Fort Worth's population is 874168.[5] Fort Worth is the second-largest city in the DallasFort WorthArlington metropolitan area which is the 4th most populous metropolitan area in the United States.[8]"""
Columbus,Ohio,"892,533",218.5 sq mi,39°59′07″N 82°59′05″W﻿ ,"
Columbus Regional Airport Authority
Bolton Field
Don Scott Airport
John Glenn International Airport (CMH)
Rickenbacker International Airport (LCK)
","https://en.wikipedia.org/wiki/Columbus,_Ohio","b""Columbus (/klmbs/ k-LUM-bs) is the state capital of and the most populous city in the U.S. State of Ohio. With a population of 892533 as of 2018 estimates[17] it is the 14th-most populous city in the United States[18][19][20][21]  and one of the fastest growing large cities in the nation.[22] This makes Columbus the third-most populous state capital in the US (after Phoenix Arizona and Austin Texas) and the second-most populous city in the Midwest (after Chicago Illinois).[23][24] It is the core city of the Columbus OH Metropolitan Statistical Area which encompasses ten counties.[25] With a population of 2078725 it is Ohio's second-largest metropolitan area."""
San Francisco,California,"883,305",46.9 sq mi,37°43′38″N 123°01′56″W﻿ ,,https://en.wikipedia.org/wiki/San_Francisco,"b""San Francisco (SF; /sn frnssko frn-/ Spanish: [sam fansisko]; Spanish for 'Saint Francis') officially the City and County of San Francisco is a city in and the cultural commercial and financial center of Northern California. San Francisco is the 13th-most populous city in the United States and the fourth-most populous in California with 883305 residents as of 2018.[14] It covers an area of about 46.89 square miles (121.4 km2)[19] mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area making it the second-most densely populated large US city and the fifth-most densely populated U.S. county behind only four of the five New York City boroughs. San Francisco is also part of the fifth-most populous primary statistical area in the United States the San JoseSan FranciscoOakland CA Combined Statistical Area (9.67 million residents)."""
Charlotte,North Carolina,"872,498",305.4 sq mi,35°12′28″N 80°49′52″W﻿ ,,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","b""Charlotte (/rlt/) is the most populous city in the U.S. state of North Carolina. Located in the Piedmont it is the county seat of Mecklenburg County. In 2017 the U.S. Census Bureau estimated the population was 859035[4] making it the 17th-most populous city in the United States. The Charlotte metropolitan area's population ranks 23rd in the U.S. and had a 2016 population of 2474314.[3]   The Charlotte metropolitan area is part of a sixteen-county market region or combined statistical area with a 2016 census-estimated population of 2632249.[5]"""
Indianapolis,Indiana,"867,125",361.5 sq mi,39°46′36″N 86°08′45″W﻿ ,,https://en.wikipedia.org/wiki/Indianapolis,"b'Indianapolis (/ndinpls/)[10][11][12] often shortened to Indy is the state capital and most populous city of the U.S. state of Indiana and the seat of Marion County. According to 2017 estimates from the U.S. Census Bureau the consolidated population of Indianapolis and Marion County was 872680.[13] The ""balance"" population which excludes semi-autonomous municipalities in Marion County was 863002.[14] It is the 16th most populous city in the U.S. The Indianapolis metropolitan area is the 34th most populous metropolitan statistical area in the U.S. with 2028614 residents.[15] Its combined statistical area ranks 27th with a population of 2411086.[15] Indianapolis covers 368 square miles (950 km2) making it the 16th largest city by land area in the U.S.'"
Seattle,Washington,"744,955",83.8 sq mi,47°37′14″N 122°21′03″W﻿ ,,https://en.wikipedia.org/wiki/Seattle,"b""Seattle (/sitl/ (listen) see-AT-l) is a seaport city on the West Coast of the United States. It  is the seat of King County Washington. With an estimated 744955 residents as of 2018[update] Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. According to U.S. Census data released in 2018 the Seattle metropolitan area's population stands at 3.94 million and ranks as the 15th largest in the United States.[10] In July 2013 it was the fastest-growing major city in the United States[11] and remained in the top 5 in May 2015 with an annual growth rate of 2.1%.[12] In July 2016 Seattle was again the fastest-growing major U.S. city with a 3.1% annual growth rate.[13] Seattle is the northernmost large city in the United States."""
Denver,Colorado,"716,492",153.3 sq mi,39°45′43″N 104°52′52″W﻿ ,Denver International Airport,https://en.wikipedia.org/wiki/Denver,b'Denver (/dnvr/) officially the City and County of Denver is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River approximately 12 mi (19 km) east of the foothills of the Rocky Mountains. Denver is named after James W. Denver a governor of the Kansas Territory and it is nicknamed the Mile High City because its official elevation is exactly one mile (5280 feet or 1609.3 meters) above sea level.[17] The 105th meridian west of Greenwich the longitudinal reference for the Mountain Time Zone passes directly through Denver Union Station.'
"Washington, D.C.",District of Columbia,"702,455",61.1 sq mi,38°54′15″N 77°01′02″W﻿ ,Washington DullesWashington NationalBaltimore–Washington International,"https://en.wikipedia.org/wiki/Washington,_D.C.",b'Washington D.C. formally the District of Columbia and commonly referred to as Washington or D.C. is the capital of the United States.[4] Founded after the American Revolution as the seat of government of the newly independent country Washington was named after George Washington the first President of the United States and a Founding Father.[5] As the seat of the United States federal government and several international organizations Washington is an important world political capital.[6] The city is also one of the most visited cities in the world with more than 20 million tourists annually.[7][8]'
Boston,Massachusetts,"694,583",48.3 sq mi,42°19′55″N 71°01′13″W﻿ ,Logan International Airport,https://en.wikipedia.org/wiki/Boston,b'Boston is the capital and most populous city[8] of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles (124 km2) with an estimated population of 694583 in 2018[3] making it also the most populous city in New England.[2] Boston is the seat of Suffolk County as well although the county government was disbanded on July 1 1999.[9] The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston a metropolitan statistical area (MSA) home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country.[10] As a combined statistical area (CSA) this wider commuting region is home to some 8.2 million people making it the sixth-largest in the United States.[11]'
El Paso,Texas,"682,669",256.8 sq mi,31°50′54″N 106°25′37″W﻿ ,El Paso International AirportELP (Major/International),"https://en.wikipedia.org/wiki/El_Paso,_Texas","b'El Paso (/l pso/; from Spanish ""the pass"") is a city in and the county seat of El Paso County Texas United States in the far western part of the state. The 2018 population estimate for the city from the U.S. Census was 682669.[6] Its metropolitan statistical area (MSA) covers all of El Paso and Hudspeth counties in Texas and has a population of 840758.[6]'"
Detroit,Michigan,"672,662",138.8 sq mi,42°22′59″N 83°06′08″W﻿ ,,https://en.wikipedia.org/wiki/Detroit,"b""Detroit (/dtrt/ locally also /ditrt/; French: Detroit lit. 'strait')[7] is the largest and most populous city in the U.S. state of Michigan the largest United States city on the United StatesCanada border and the seat of Wayne County. The municipality of Detroit had a 2017 estimated population of 673104 making it the 23rd-most populous city in the United States. The metropolitan area known as Metro Detroit is home to 4.3 million people making it the second-largest in the Midwest after the Chicago metropolitan area. Regarded as a major cultural center Detroit is known for its contributions to music and as a repository for art architecture and design."""
Nashville,Tennessee,"669,053",475.9 sq mi,36°10′18″N 86°47′06″W﻿ ,,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",b'Located in northern Middle Tennessee Nashville is the major city of the largest metropolitan area in Tennessee. The 2017 population of the entire 14-county Nashville metropolitan area was 1903045.[5] The 2017 population of the NashvilleDavidsonMurfreesboroColumbia combined statistical area a larger trade area was 2027489.[8]'
Portland,Oregon,"653,115",133.5 sq mi,45°32′13″N 122°39′00″W﻿ ,,"https://en.wikipedia.org/wiki/Portland,_Oregon","b""Portland is the largest and most populous city in the U.S. state of Oregon and the seat of Multnomah County. It is a major port in the Willamette Valley region of the Pacific Northwest at the confluence of the Willamette and Columbia rivers. As of 2018 Portland had an estimated population of 653115[7]  making it the 25th most populated city in the United States and the second-most populous in the Pacific Northwest (after Seattle).[9] Approximately 2.4 million people live in the Portland metropolitan statistical area (MSA) making it the 25th most populous MSA in the United States. Its Combined Statistical Area (CSA) ranks 19th-largest with a population of around 3.2 million. Approximately 60% of Oregon's population resides within the Portland metropolitan area.[a]"""
Memphis,Tennessee,"650,618",317.4 sq mi,35°06′10″N 89°58′39″W﻿ ,,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",b'Memphis is a city located along the Mississippi River in southwestern Shelby County Tennessee United States. The 2017 city population was 652236[5] making Memphis the largest city on the Mississippi River second-largest city in Tennessee as well as the 25th largest city in the United States. Greater Memphis is the 42nd largest metropolitan area in the United States with a population of 1348260 in 2017.[6] The city is the anchor of West Tennessee and the greater Mid-South region which includes portions of neighboring Arkansas and Mississippi. Memphis is the seat of Shelby County the most populous county in Tennessee. As one of the most historic and cultural cities of the southern United States the city features a wide variety of landscapes and distinct neighborhoods.'
Oklahoma City,Oklahoma,"649,021",606.3 sq mi,35°28′02″N 97°30′49″W﻿ ,,https://en.wikipedia.org/wiki/Oklahoma_City,"b""Oklahoma City (/oklhom -/) often shortened to OKC is the capital and largest city of the U.S. state of Oklahoma. The county seat of Oklahoma County[8] the city ranks 27th among United States cities in population. The population grew following the 2010 Census with the population estimated to have increased to 649021 as of July 2018.[5] The Oklahoma City metropolitan area had a population of 1396445[9] and the Oklahoma City-Shawnee Combined Statistical Area had a population of 1469124 residents[9] making it Oklahoma's largest municipality and metropolitan area by population."""
Las Vegas,Nevada,"644,644",134.4 sq mi,36°13′45″N 115°15′36″W﻿ ,LAS,https://en.wikipedia.org/wiki/Las_Vegas,No data Available
Louisville,Kentucky,"620,118",263.5 sq mi,38°09′55″N 85°38′51″W﻿ ,"Louisville International Airport, Bowman Field","https://en.wikipedia.org/wiki/Louisville,_Kentucky","b""Louisville (/luvl/ (listen) LOO--vl /luivl/ (listen) LOO-ee-vil /lvl/ (listen) LUUV-l) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States.[d][5] It is one of two cities in Kentucky designated as first-class the other being Lexington the state's second-largest city.[e] Louisville is the historical seat and since 2003 the nominal seat of Jefferson County located in the northern region of the state on the border with Indiana."""
Baltimore,Maryland,"602,495",80.9 sq mi,39°18′00″N 76°36′38″W﻿ ,,https://en.wikipedia.org/wiki/Baltimore,b'Baltimore (/bltmr/) is the largest city in the state of Maryland within the United States. Baltimore was established by the Constitution of Maryland[10] as an independent city in 1729. With a population of 602495 in 2018 Baltimore is the largest such independent city in the United States.  As of 2017[update] the population of the Baltimore metropolitan area was estimated to be just under 2.802 million making it the 21st largest metropolitan area in the country.[11] Baltimore is located about 40 miles (60 km) northeast of Washington D.C. making it a principal city in the Washington-Baltimore combined statistical area (CSA) the fourth-largest CSA in the nation with a calculated 2018 population of 9797063.[12]'
Milwaukee,Wisconsin,"592,025",96.2 sq mi,43°03′48″N 87°58′00″W﻿ ,Milwaukee Mitchell International Airport (MKE),https://en.wikipedia.org/wiki/Milwaukee,"b""Milwaukee (/mlwki/ locally /m-/)[6] is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States.  The seat of the eponymous county it is on Lake Michigan's western shore. Ranked by its estimated 2014 population Milwaukee was the 31st largest city in the United States.[7] The city's estimated population in 2017 was 595351.[8] Milwaukee is the main cultural and economic center of the Milwaukee metropolitan area which had a population of 2043904 in the 2014 census estimate. It is the second-most densely populated metropolitan area in the Midwest surpassed only by Chicago.[9] Milwaukee is considered a Gamma global city as categorized by the Globalization and World Cities Research Network with a regional GDP of over $105 billion."""
Albuquerque,New Mexico,"560,218",188.2 sq mi,35°06′20″N 106°38′51″W﻿ ,Albuquerque International SunportABQ (Major/International),"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","b""Albuquerque (/lbkrki/ (listen) AL-b-kur-kee; Navajo: Beeeldiil Dahsinil [peeltil txsnl]; Eastern Keres: Arawageeki; Jemez: Vakeeke; Zuni: Alo:ke:k'ya; Jicarilla Apache: Gogeeki'ye) also known locally as Duke City and abbreviated as ABQ is the most populous city in the U.S. state of New Mexico and the 32nd-most populous city in the United States with a census-estimated population of 558545 in 2017.[5] It is the principal city of the Albuquerque metropolitan area which has 915927 residents as of July 2018.[6] Albuquerque's Metropolitan statistical area is the 60th-largest in the United States. The Albuquerque MSA population includes the cities of Rio Rancho Bernalillo Placitas Corrales Los Lunas Belen and Bosque Farms and forms part of the larger AlbuquerqueSanta FeLas Vegas combined statistical area with a total population of 1171991 in 2016."""
Tucson,Arizona,"545,975",230.8 sq mi,32°09′11″N 110°52′14″W﻿ ,,"https://en.wikipedia.org/wiki/Tucson,_Arizona",b'Tucson (/tusn tusn/) is a city and the county seat of Pima County Arizona United States[6] and home to the University of Arizona. The 2010 United States Census put the population at 520116[3] while the 2015 estimated population of the entire Tucson metropolitan statistical area (MSA) was 980263.[7] The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA) with a total population of 1010025 as of the 2010 Census. Tucson is the second-largest populated city in Arizona behind Phoenix both of which anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.Mexico border.[6] Tucson is the 33rd largest city and the 58th largest metropolitan area in the United States (2014).'
Fresno,California,"530,093",114.4 sq mi,36°47′01″N 119°47′36″W﻿ ,Fresno Yosemite International AirportFAT (Major/International),"https://en.wikipedia.org/wiki/Fresno,_California","b'Fresno (/frzno/ FREZ-noh; Spanish for ""ash tree"") is a city in California United States and the county seat of Fresno County. It covers about 112 square miles (290 km2)[12] in the center of the San Joaquin Valley the southern portion of California\'s Central Valley.'"
Mesa,Arizona,"508,958",137.9 sq mi,33°24′07″N 111°43′03″W﻿ ,,"https://en.wikipedia.org/wiki/Mesa,_Arizona",b'Mesa (/mes/ MAY-s) is a city in Maricopa County in the U.S. state of Arizona. It is a suburb located about 20 miles (32 km) east of Phoenix in the East Valley section of the Phoenix Metropolitan Area. It is bordered by Tempe on the west the Salt River Pima-Maricopa Indian Community on the north Chandler and Gilbert on the south along with Queen Creek and Apache Junction on the east.'
Sacramento,California,"508,529",97.9 sq mi,38°34′00″N 121°28′07″W﻿ ,Sacramento International AirportSMF (Major/International),"https://en.wikipedia.org/wiki/Sacramento,_California","b""Sacramento (/skrmnto/ SAK-r-MEN-toh; Spanish: [sakamento]) is the capital city of the U.S. state of California and the seat of Sacramento County. Located at the confluence of the Sacramento River and the American River in Northern California's Sacramento Valley Sacramento's estimated 2018 population of 501334 makes it the sixth-largest city in California and the ninth largest capital in the United States.[11][12] Sacramento is the seat of the California Legislature and the Governor of California making it the state's political center and a hub for lobbying and think tanks. Sacramento is also the cultural and economic core of the Sacramento metropolitan area which had 2010 population of 2414783[10] making it the fifth largest in California.[13]"""
Atlanta,Georgia,"498,044",133.5 sq mi,33°45′46″N 84°25′22″W﻿ ,,https://en.wikipedia.org/wiki/Atlanta,No data Available
Kansas City,Missouri,"491,918",315.0 sq mi,39°07′30″N 94°33′04″W﻿ ,Kansas City International Airport,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",b'Kansas City is the largest city in the U.S. state of Missouri. According to the U.S. Census Bureau the city had an estimated population of 491918 in 2018[6] making it the 38th most-populous city in the United States. It is the central city of the Kansas City metropolitan area which straddles the KansasMissouri state line. Kansas City was founded in the 1830s as a Missouri River port at its confluence with the Kansas River coming in from the west. On June 1 1850 the town of Kansas was incorporated; shortly after came the establishment of the Kansas Territory. Confusion between the two ensued and the name Kansas City was assigned to distinguish them soon after.'
Colorado Springs,Colorado,"472,688",195.6 sq mi,38°52′02″N 104°45′39″W﻿ ,,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",b'Colorado Springs is a home rule municipality that is the largest city by area in Colorado as well as the county seat and the most populous municipality of El Paso County Colorado United States. Colorado Springs is located in the east central portion of the state. It is situated on Fountain Creek and is located 60 miles (97 km) south of the Colorado State Capitol in Denver.'
Miami,Florida,"470,914",36.0 sq mi,25°46′31″N 80°12′31″W﻿ ,Miami International Airport,https://en.wikipedia.org/wiki/Miami,"b'Miami is a major center and a leader in finance commerce culture media entertainment the arts and international trade.[11][12] The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $344.9 billion as of 2017.[13] In 2012 Miami was classified as an Alpha  level world city in the World Cities Study Group\'s inventory.[14] In 2010 Miami ranked seventh in the United States and 33rd among global cities in terms of business activity human capital information exchange cultural experience and political engagement.[15][16] In 2008 Forbes magazine ranked Miami ""America\'s Cleanest City"" for its year-round good air quality vast green spaces clean drinking water clean streets and citywide recycling programs.[17] According to a 2009 UBS study of 73 world cities Miami was ranked as the richest city in the United States and the world\'s seventh-richest city in terms of purchasing power.[18] Miami is nicknamed the ""Capital of Latin America""[1] and is the largest city with a Cuban-American plurality.[19]'"
Raleigh,North Carolina,"469,298",145.1 sq mi,35°49′50″N 78°38′30″W﻿ ,RDU,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","b'Raleigh (/rli/; RAH-lee)[6] is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is the second-largest city in the state after Charlotte. Raleigh is known as the ""City of Oaks"" for its many oak trees which line the streets in the heart of the city.[7] The city covers a land area of 142.8 square miles (370 km2). The U.S. Census Bureau estimated the city\'s population as 479332 as of July 1 2018.[4] It is one of the fastest-growing cities in the country.[8][9] The city of Raleigh is named after Sir Walter Raleigh who established the lost Roanoke Colony in present-day Dare County.'"
Omaha,Nebraska,"468,262",133.2 sq mi,41°15′52″N 96°02′42″W﻿ ,,"https://en.wikipedia.org/wiki/Omaha,_Nebraska","b""Omaha (/omh/ OH-m-hah) is the largest city in the state of Nebraska and the county seat of Douglas County.[6] Omaha is in the Midwestern United States on the Missouri River about 10 miles (15 km) north of the mouth of the Platte River. The nation's 40th-largest city Omaha's 2018 estimated population was 466061."""
Long Beach,California,"467,354",50.3 sq mi,33°48′33″N 118°09′19″W﻿ ,Los Angeles International AirportLAX (Major/International),"https://en.wikipedia.org/wiki/Long_Beach,_California",b'Long Beach is a city on the Pacific Coast of the United States within the Los Angeles metropolitan area of Southern California. It is the 39th most populous city in the United States and the 7th most populous in California with a population of 462257 in 2010.[15] It is the second largest city in the Los Angeles metropolitan area the third in Southern California behind Los Angeles and San Diego. Long Beach is a charter city.[3]'
Virginia Beach,Virginia,"450,189",244.7 sq mi,36°46′48″N 76°01′31″W﻿ ,,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia","b'Virginia Beach is an independent city located on the southeastern coast of the Commonwealth of Virginia in the United States. As of the 2010 census the population was 437994.[5] In 2015 the population was estimated to be 452745.[6] In 2018 the estimated population was 450138.[7][8] Although mostly suburban in character it is the most populous city in Virginia and the 44th most populous city in the nation.[9] \nLocated on the Atlantic Ocean at the mouth of the Chesapeake Bay Virginia Beach is included in the Hampton Roads metropolitan area. This area known as ""America\'s First Region"" also includes the independent cities of Chesapeake Hampton Newport News Norfolk Portsmouth and Suffolk as well as other smaller cities counties and towns of Hampton Roads.'"
Oakland,California,"429,082",55.9 sq mi,37°46′11″N 122°13′33″W﻿ ,Oakland International AirportOAK (Major/International),"https://en.wikipedia.org/wiki/Oakland,_California",b'Oakland is the largest city and the county seat of Alameda County California United States. A major West Coast port city Oakland is the largest city in the East Bay region of the San Francisco Bay Area the third largest city overall in the San Francisco Bay Area the eighth most populated city in California and the 45th largest city in the United States. With a population of 432897 as of 2019[update][19] it serves as a trade center for the San Francisco Bay Area; its Port of Oakland is the busiest port in the San Francisco Bay the entirety of Northern California and the fifth busiest in the United States of America.[20] An act to incorporate the city was passed on May 4 1852 and incorporation was later approved on March 25 1854 which officially made Oakland a city.[4] Oakland is a charter city.[21]'
Minneapolis,Minnesota,"425,403",54.0 sq mi,44°57′48″N 93°16′06″W﻿ ,Minneapolis–Saint Paul International Airport,https://en.wikipedia.org/wiki/Minneapolis,b'Minneapolis (/mnipls/ (listen)) is the county seat of Hennepin County[6] and the larger of the Twin Cities the 16th-largest metropolitan area in the United States.[3] As of 2018 Minneapolis is the largest city in the state of Minnesota and 46th-largest in the United States with an estimated population of 425403.[4] The Twin Cities metropolitan area consists of Minneapolis its neighbor Saint Paul and suburbs which altogether contain about 3.63 million people and is the third-largest economic center in the Midwest.[7]'
Tulsa,Oklahoma,"400,669",196.8 sq mi,36°07′40″N 95°54′08″W﻿ ,,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",b'Tulsa /tls/ is the second-largest city in the state of Oklahoma and 45th-most populous city in the United States. As of July 2016[update] the population was 413505 an increase of 12591 over that reported in the 2010 Census.[5] It is the principal municipality of the Tulsa Metropolitan Area a region with 991005 residents in the MSA and 1251172 in the CSA.[6] The city serves as the county seat of Tulsa County the most densely populated county in Oklahoma[7] with urban development extending into Osage Rogers and Wagoner counties.[5]'
Arlington,Texas,"398,112",95.8 sq mi,32°42′03″N 97°07′29″W﻿ ,,"https://en.wikipedia.org/wiki/Arlington,_Texas","b""According to the U.S. Census Bureau's estimate the city had a population of 396394 in 2017[7] making it the second-largest city in the county (after Fort Worth) and the third-largest in the metropolitan area. Arlington is the forty-eighth-most populous city in the United States the seventh-most populous city in the state of Texas[8] and the largest city in the state that is not a county seat."""
